img_src,name,price_list,shop_list
https://s.ek.ua/jpg/2379252.jpg,Kinetic Profi 26,"13338,13680,13338,13338,13338,13338,13338","VeloGO.com.ua,Lisoped.ua,Beskydy.com.ua,Groosha.ua,Zhuk.ua,VeloGO.com.ua,VeloGO.com.ua"
https://s.ek.ua/jpg/2243948.jpg,Cyclone GSX,"49413,50680,49413,49413,49413,49413,50680","VeloGO.com.ua,Lisoped.ua,Beskydy.com.ua,Groosha.ua,Zhuk.ua,VeloGO.com.ua,Lisoped.ua"
https://s.ek.ua/jpg/2379245.jpg,Kinetic Sniper 24,"11934,12240,11934,11934,11934","VeloGO.com.ua,Lisoped.ua,Beskydy.com.ua,Groosha.ua,Zhuk.ua"
https://s.ek.ua/jpg/1982971.jpg,Bergamont Revox 5.0 29,32700,Velotime.com.ua
https://s.ek.ua/jpg/2039825.jpg,Scott Contessa Active 20 27.5,"36120,36120,36120,36120","Velomarket.org.ua,Velotime.com.ua,VeloGO.com.ua,Lisoped.ua"
https://s.ek.ua/jpg/2421073.jpg,CROSS Smile 26,"8300,8300,8300,8300,8300,8300,8300","АЛЛО,Lisoped.ua,Zhuk.ua,АЛЛО,АЛЛО,АЛЛО,АЛЛО"
https://s.ek.ua/jpg/2436823.jpg,Merida Big.Seven 100-2x,"32440,32440","VeloGO.com.ua,VeloGO.com.ua"
https://s.ek.ua/jpg/1865025.jpg,Indiana Moena S3B 28,"11120,12360","Ebox24.biz,Ebox24.biz"
https://s.ek.ua/jpg/2199261.jpg,Dorozhnik Coral,"12888,11138,12888,12888,12239,10024,12132","Kvshop.com.ua,VeloGO.com.ua,АЛЛО,Lisoped.ua,Enko.com.ua,Dinastiya.com.ua,Q-techno.com.ua"
https://s.ek.ua/jpg/2255602.jpg,Spirit Fitness Piligrim 8.1,"22359,22359,22359,22359,20123,22359","VeloGO.com.ua,Stylus.ua,Цифра,Lisoped.ua,Dinastiya.com.ua,Orbitreki.com.ua"
https://s.ek.ua/jpg/2255595.jpg,Spirit Fitness Echo 9.4 29,"24939,24939,24939,24939,22908,24939,22445","Kvshop.com.ua,VeloGO.com.ua,Stylus.ua,Цифра,Enko.com.ua,Lisoped.ua,Dinastiya.com.ua"
https://s.ek.ua/jpg/2246656.jpg,Leon XC-50 AM HDD,"31668,31668,31668,31668,31668,31668,29820","Kvshop.com.ua,VeloGO.com.ua,Stylus.ua,Цифра,АЛЛО,Lisoped.ua,Enko.com.ua"
https://s.ek.ua/jpg/2181548.jpg,Scott Speedster 50,"37496,37496,37496","Velomarket.org.ua,Velotime.com.ua,VeloGO.com.ua"
https://s.ek.ua/jpg/407249.jpg,AZIMUT Scorpion 26 GD,"6650,6650,6650,6650","Lisoped.ua,Lisoped.ua,Lisoped.ua,Lisoped.ua"
https://s.ek.ua/jpg/922781.jpg,Xiaomi MiJia QiCycle,43014,Smartmag.biz.ua
https://s.ek.ua/jpg/1996690.jpg,CRONUS Baturo 520 29,"30900,30900,30900,30900","АЛЛО,Lisoped.ua,Beskydy.com.ua,Zhuk.ua"
https://s.ek.ua/jpg/2258758.jpg,Discovery Bastion 26,"9805,9805,9805,9805,9805,9805,9805","Stylus.ua,Цифра,АЛЛО,Lisoped.ua,Orbitreki.com.ua,Beskydy.com.ua,Zhuk.ua"
https://s.ek.ua/jpg/2443354.jpg,KTM Ultra Sport,"60200,60200,60200,60200,54511,60200,60200","Kvshop.com.ua,Velomarket.org.ua,Velotime.com.ua,VeloGO.com.ua,Q-techno.com.ua,Brain.com.ua,Itbox.ua"
https://s.ek.ua/jpg/2450934.jpg,GT Transeo Comp,"25400,25400,25400,25400,25400","Stylus.ua,Цифра,Lisoped.ua,Groosha.ua,Zhuk.ua"
https://s.ek.ua/jpg/1876585.jpg,ORBEA MX 50 29,"28577,28577","Stylus.ua,Цифра"
https://s.ek.ua/jpg/2384113.jpg,TITAN Jaguar 26,"11400,11400,11400,10260,11400,11400,11400","АЛЛО,Lisoped.ua,Beskydy.com.ua,Groosha.ua,Zhuk.ua,АЛЛО,АЛЛО"
https://s.ek.ua/jpg/2450872.jpg,GT Avalanche Sport 29,"29800,29800,29800,29800,29800","Stylus.ua,Цифра,Lisoped.ua,Groosha.ua,Zhuk.ua"
https://s.ek.ua/jpg/2450960.jpg,GT Avalanche Elite 29,"43600,43600,43600,43600,43600","Stylus.ua,Цифра,Lisoped.ua,Groosha.ua,Zhuk.ua"
https://s.ek.ua/jpg/2434200.jpg,Author Unica 26,"18330,18330,18330,18330,18330,18330,18330","Velomarket.org.ua,Velotime.com.ua,Stylus.ua,Цифра,Velomarket.org.ua,Velotime.com.ua,Stylus.ua"
https://s.ek.ua/jpg/2399857.jpg,Merida Big.Nine 20-3x,"27120,27120,27120","Velomarket.org.ua,Velotime.com.ua,VeloGO.com.ua"
https://s.ek.ua/jpg/431861.jpg,Corrado Namito 1.0 Dirt Jump,"19314,18241,18084,17298,16354,17140,15999","Kvshop.com.ua,Stylus.ua,Цифра,Tviy-Dim.com,Enko.com.ua,Q-techno.com.ua,Brain.com.ua"
https://s.ek.ua/jpg/2244746.jpg,Leon XC-90 SE,15359,Dinastiya.com.ua
