image_urls,name,price,shop
https://s.ek.ua/jpg/616348.jpg,Canon PIXMA IX6850,11968,Ebox24.biz
https://s.ek.ua/jpg/616348.jpg,Canon PIXMA IX6850,9918,Denika.ua
https://s.ek.ua/jpg/1376883.jpg,Kyocera ECOSYS P6230CDN,16487,A-techno.com.ua
https://s.ek.ua/jpg/1376883.jpg,Kyocera ECOSYS P6230CDN,16299,Stylus.ua
https://s.ek.ua/jpg/2233628.jpg,Brother HL-L2350DW,5774,Luckylink.kiev.ua
https://s.ek.ua/jpg/2233628.jpg,Brother HL-L2350DW,6489,Mta.ua
https://s.ek.ua/jpg/616348.jpg,Canon PIXMA IX6850,16016,Ebox24.biz
https://s.ek.ua/jpg/1618211.jpg,HP Laser 107A,7531,Kvshop.com.ua
https://s.ek.ua/jpg/1618211.jpg,HP Laser 107A,7234,FOXTROT.UA
https://s.ek.ua/jpg/1376883.jpg,Kyocera ECOSYS P6230CDN,15999,Цифра
https://s.ek.ua/jpg/1376883.jpg,Kyocera ECOSYS P6230CDN,16146,Enko.com.ua
https://s.ek.ua/jpg/2233628.jpg,Brother HL-L2350DW,8316,Ebox24.biz
https://s.ek.ua/jpg/1618211.jpg,HP Laser 107A,7733,A-techno.com.ua
https://s.ek.ua/jpg/1618211.jpg,HP Laser 107A,6999,Protsyk.net
https://s.ek.ua/jpg/1618211.jpg,HP Laser 107A,7018,Stylus.ua
https://s.ek.ua/jpg/1376883.jpg,Kyocera ECOSYS P6230CDN,16921,Q-techno.com.ua
https://s.ek.ua/jpg/1376883.jpg,Kyocera ECOSYS P6230CDN,15999,Brain.com.ua
https://s.ek.ua/jpg/622420.jpg,DNP DS-80,6316,click24.biz
https://s.ek.ua/jpg/2199472.jpg,Canon PIXMA TS205,3050,Redprice.prom.ua
https://s.ek.ua/jpg/2199472.jpg,Canon PIXMA TS205,2541,Denika.ua
https://s.ek.ua/jpg/2199472.jpg,Canon PIXMA TS205,3050,Saren.com.ua
https://s.ek.ua/jpg/2199472.jpg,Canon PIXMA TS205,3056,Timesport.com.ua
https://s.ek.ua/jpg/2199472.jpg,Canon PIXMA TS205,3053,Tomdom.prom.ua
https://s.ek.ua/jpg/1618211.jpg,HP Laser 107A,6617,Цифра
https://s.ek.ua/jpg/622420.jpg,DNP DS-80,6316,Click24.in.ua
https://s.ek.ua/jpg/2200757.jpg,Epson L1210,6704,Stylus.ua
https://s.ek.ua/jpg/1618211.jpg,HP Laser 107A,7403,TTT.ua
https://s.ek.ua/jpg/622420.jpg,DNP DS-80,6380,Ebox24.biz
https://s.ek.ua/jpg/1610057.jpg,HP Color LaserJet Pro M454DW,19998,Kvshop.com.ua
https://s.ek.ua/jpg/1610057.jpg,HP Color LaserJet Pro M454DW,19124,FOXTROT.UA
https://s.ek.ua/jpg/2200757.jpg,Epson L1210,6509,Цифра
https://s.ek.ua/jpg/2200757.jpg,Epson L1210,6199,Megadom.biz
https://s.ek.ua/jpg/2200757.jpg,Epson L1210,6839,Smartmag.biz.ua
https://s.ek.ua/jpg/2375106.jpg,Canon i-SENSYS LBP633CDW,12981,Click24.in.ua
https://s.ek.ua/jpg/1610057.jpg,HP Color LaserJet Pro M454DW,17904,Stylus.ua
https://s.ek.ua/jpg/1610057.jpg,HP Color LaserJet Pro M454DW,17706,Цифра
https://s.ek.ua/jpg/1610057.jpg,HP Color LaserJet Pro M454DW,18925,TTT.ua
https://s.ek.ua/jpg/1610057.jpg,HP Color LaserJet Pro M454DW,20190,Megadom.biz
https://s.ek.ua/jpg/1610057.jpg,HP Color LaserJet Pro M454DW,18211,АЛЛО
https://s.ek.ua/jpg/2200757.jpg,Epson L1210,5955,Tehnopostavka.com.ua
https://s.ek.ua/jpg/2200757.jpg,Epson L1210,6587,Openshop.ua
https://s.ek.ua/jpg/2375106.jpg,Canon i-SENSYS LBP633CDW,12981,click24.biz
https://s.ek.ua/jpg/2375106.jpg,Canon i-SENSYS LBP633CDW,18480,Ebox24.biz
https://s.ek.ua/jpg/2375106.jpg,Canon i-SENSYS LBP633CDW,11998,Optsklad.com
https://s.ek.ua/jpg/2375106.jpg,Canon i-SENSYS LBP633CDW,11999,Lawyer
https://s.ek.ua/jpg/2375106.jpg,Canon i-SENSYS LBP633CDW,13112,Ebox24.biz
https://s.ek.ua/jpg/2375106.jpg,Canon i-SENSYS LBP633CDW,14696,Ebox24.biz
https://s.ek.ua/jpg/1376511.jpg,Epson Expression Photo HD XP-15000,17300,Tehnopostavka.com.ua
https://s.ek.ua/jpg/514132.jpg,HP OfficeJet 6230,4729,Inksystem.ua
https://s.ek.ua/jpg/514132.jpg,HP OfficeJet 6230,5247,Saren.com.ua
https://s.ek.ua/jpg/820890.jpg,Canon i-SENSYS LBP710CX,27486,click24.biz
